Statistics For SmokeVer1aUdpMulticastUdpUnicast Status: Active,"2019-03-06 16:30:19
Job started"
Statistics For Smokevrs1bUdpUnicastRtpUnicastjob Status: Active,"2019-03-06 16:30:44
Job started"
Statistics For Smokevrs1cRtpUnicastUdpunicast Status: Active,"2019-03-06 16:31:07
Job started"
Statistics For Smokevrs1dUdpUincastUdpUnicast Status: Active,"2019-03-06 16:31:33
Job started"
Statistics For Smokevrs1dUdpUincastUdpUnicast Status: completed,"2019-03-06 16:31:56
Job completed.
2019-03-06 16:31:33
Job started"
Statistics For Smokevrs1cRtpUnicastUdpunicast Status: completed,"2019-03-06 16:32:20
Job completed.
2019-03-06 16:31:07
Job started"
Statistics For Smokevrs1bUdpUnicastRtpUnicastjob Status: completed,"2019-03-06 16:32:47
Job completed.
2019-03-06 16:30:44
Job started"
Statistics For SmokeVer1aUdpMulticastUdpUnicast Status: completed,"2019-03-06 16:33:07
Job completed.
2019-03-06 16:30:19
Job started"
Statistics For Smokevrs2aUdpMulticastRtmpoutjob Status: Active,"2019-03-06 16:33:34
Job started"
Statistics For Smokevrs2bRTMPInUdpUbnicastjob Status: Active,"2019-03-06 16:33:57
Job started"
Statistics For Smokevrs2cUdpunicastRTMPjob Status: Active,"2019-03-06 16:34:22
Job started"
Statistics For SmokeVrs2dRtmpInputrtmpOutputjob Status: Active,"2019-03-06 16:34:45
Job started"
Statistics For SmokeVrs2dRtmpInputrtmpOutputjob Status: completed,"2019-03-06 16:35:16
Job completed.
2019-03-06 16:34:45
Job started"
Statistics For Smokevrs2cUdpunicastRTMPjob Status: completed,"2019-03-06 16:35:36
Job completed.
2019-03-06 16:34:22
Job started"
Statistics For Smokevrs2bRTMPInUdpUbnicastjob Status: completed,"2019-03-06 16:35:57
Job completed.
2019-03-06 16:33:57
Job started"
Statistics For Smokevrs2aUdpMulticastRtmpoutjob Status: completed,"2019-03-06 16:36:25
Job completed.
2019-03-06 16:33:34
Job started"
Statistics For SmokeVersa3aUdpMulticastRtpUnicastjob Status: Active,"2019-03-06 16:36:46
Job started"
Statistics For SmokeVersa3bRtpUnicastRtmpOut Status: Active,"2019-03-06 16:37:10
Job started"
Statistics For smokeVersa3CRtmpInRtpUnicast Status: Active,"2019-03-06 16:37:35
Job started"
